render_frame,surface_index,source_frame_id,source_time,source_iteration,source_path,source_sha256,output_path
30,30,visual_0030,0.15,804,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0030.facets,04484a217c31681fe9f0ea4bcaa084a833fe20965d7f7056d48a49a33b4da97b,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0030.png
31,31,visual_0031,0.155,830,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0031.facets,d2617e76b6a70bd583e92d02cd46de2921f1c7541c6e6cff044a90c0d5b17b2e,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0031.png
32,32,visual_0032,0.16,856,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0032.facets,0dc0bfae4ebd01639c84aa2b82bba46ebd90caeca3d4289ab6092c6b12a8ac15,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0032.png
33,33,visual_0033,0.165,882,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0033.facets,3f9d9ad0c785ca159bc13f8496c4c4c0db78ca9c3fe4741d2de021c370dca4da,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0033.png
34,34,visual_0034,0.17,907,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0034.facets,cc388332f27a61e4ec5078096a25c85504e32918542b7cdf7f3bfb7bf826f71c,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0034.png
35,35,visual_0035,0.175,932,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0035.facets,a00a0ba1acff3993cb0b146b058caa839d212dae3ad3249e026feb7aaef48208,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0035.png
36,36,visual_0036,0.18,957,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0036.facets,d78fe88340163c92b4d4b1692701430aaa71f179de8c7cf117faa1f4466aaa20,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0036.png
37,37,visual_0037,0.185,993,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0037.facets,95437d8a7857720fc7a6b3eb060caf4ea870b52a786d3a07959d53d359603f81,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0037.png
38,38,visual_0038,0.19,1019,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0038.facets,121b06a087560eca0830093ac07bfd01a6bc897cb8fefeada6cc5ab41218528b,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0038.png
39,39,visual_0039,0.195,1045,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0039.facets,2d2ab7e2e101eec37962f0e4984314a7cb812cf830d8c7bd756b4f9658200deb,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0039.png
